Total Lease Cost
329959
298073
2820213
883773
359745
776486
779517
1150529
38131
58020
198698
1905962
449871
72212
94919
36514
92125
1591730
145922
496409
798909
425861
287392
276100
116301
110495
377032
290559
2184416
998647
1097061
228066
1091447
231471
138377
183761
299119
405641
334213
2013819
428728
46150
2595674
124682
104749
813513
67623
76960
921925
135037
26311
112225
504164
1064665
157812
981888
112653
408380
551308
132458
466399
489413
727057
60365
527078
465335
692087
1020102
382421
1043353
20744
1711806
47412
240353
883371
542066
480014
951236
246621
90036
64878
52000
178953
20409
286348
51787
340457
106376
100786
53800
310397
43461
408079
73429
170274
1225520
416602
1268814
190133
823714
487227
514796
1350143
143330
2553806
450257
864771
787238
379098
218096
390806
2267764
95399
115937
597697
29459
84636
149458
1667827
298459
378054
194093
213583
101742
80573
767107
199273
161323
297568
991909
415569
632897
42811
1165892
155239
1295344
113221
53611
22221
350015
707741
551853
41297
153451
562098
136492
351196
41015
147439
1321084
175533
84169
263586
27373
550052
106156
456299
520268
179153
139348
25240
33312
183631
333598
165324
34005
278579
34884
39822
267176
848745
39567
1229108
286442
527301
1384871
131036
1842558
2315053
68775
347047
823152
584418
327494
264553
144570
50915
283906
31843
100274
300529
88158
324621
21187
41342
129067
138138
30749
416691
40011
899369
1163682
1579939
134261
531646
277070
65740
742419
175921
97702
53791
288171
524666
1282164
328806
123623
768670
58808
979391
1217664
383177
860709
931757
